country_iso3,year,country_name,lending_rate_pct,lending_imputed,corporate_tax_rate_pct,corp_tax_imputed,total_tax_rate_pct,total_tax_imputed,electricity_kwh_per_capita,electricity_imputed,lending_rate_pct_z,corporate_tax_rate_pct_z,total_tax_rate_pct_z,electricity_kwh_per_capita_z
IND,2015,India,10.0083333333333,False,34.61,False,55.687902755447,False,841.085387869102,False,2.0718549874394334,1.7132954009274917,1.2778184016552134,-1.4736839809353017
IND,2016,India,9.6725,False,34.61,False,56.167215173705,False,879.945696796945,False,1.943087999551045,1.7132954009274917,1.331565376330566,-1.4634881077863644
IND,2017,India,9.50833333333333,False,34.61,False,52.030353594498,False,918.313686962613,False,1.8801423503847536,1.7132954009274917,0.8676846462189723,-1.4534214055006152
IND,2018,India,9.45416666666667,False,35.0,False,46.209958799022,False,970.834176233242,False,1.8593734813704978,1.8032218286251058,0.21502345957595967,-1.43964147782897
IND,2019,India,9.46625,False,30.0,False,46.209958799022,True,988.272169542114,False,1.8640065367659855,0.6503189094249262,0.21502345957595967,-1.4350662293902758
IND,2020,India,9.15,False,30.0,False,46.209958799022,True,901.399579163301,False,1.7427482938288934,0.6503189094249262,0.21502345957595967,-1.4578592008323366
IND,2021,India,8.69833333333333,False,30.0,False,46.209958799022,True,963.363913685612,False,1.569567878356155,0.6503189094249262,0.21502345957595967,-1.4416014686634824
IND,2022,India,8.56714285714286,False,30.0,False,46.209958799022,True,1085.33520920382,False,1.5192661340622835,0.6503189094249262,0.21502345957595967,-1.4095995651473683
IND,2023,India,8.56714285714286,True,30.0,False,46.209958799022,True,1181.63126786529,False,1.5192661340622835,0.6503189094249262,0.21502345957595967,-1.384334135562697
IND,2024,India,8.56714285714286,True,30.0,True,46.209958799022,True,1181.63126786529,True,1.5192661340622835,0.6503189094249262,0.21502345957595967,-1.384334135562697
