country,Lending Rate (%),Real Interest Rate (%),T&D Losses (%),Corporate Tax Rate (%)
India,8.56714285714286,2.52131544946588,14.1614354109371,30.0
Vietnam,9.323,7.08136836215213,6.58319222235198,20.0
Germany,,,5.11593344757408,29.941
Malaysia,5.282681,4.45730372233753,6.89739152062844,24.0
China,4.35,5.09321925687914,3.42898799062376,25.0
Thailand,4.51416666666667,3.54888514574285,7.16136006690191,20.0
S. Korea,4.72666666666667,0.634469260614762,3.28740147756891,26.5
Japan,0.994,1.06914440735818,4.93394555765672,29.74
USA,3.25,-1.08716753956254,5.3117248222259,25.768
Singapore,5.25,-5.11973682102115,0.22997250704615,17.0
