_sl__no_,item_vertical,__2013_14,_2014_15_,__2015_16,__2016_17,_2017_18,_2018_19,_2019_20,_2020_21_,resource_id,_year,production_,import,export,__2014_15,_2020_21,data_source,retrieval_date
1,Consumer Electronics,47599.0,55806.0,55765.0,64742.0,73524.0,77000.0,81000.0,70000.0,d40171a0-6d34-4c62-9b24-5825ea3dd4ed,,,,,,,MeitY_API_real,2026-04-26
2,Industrial Electronics,33600.0,39374.0,45083.0,62214.0,69057.0,80850.0,92200.0,77760.0,d40171a0-6d34-4c62-9b24-5825ea3dd4ed,,,,,,,MeitY_API_real,2026-04-26
3,Computer Hardware,17484.0,18691.0,19885.0,20382.0,21401.0,21180.0,21500.0,22000.0,d40171a0-6d34-4c62-9b24-5825ea3dd4ed,,,,,,,MeitY_API_real,2026-04-26
4,Mobile phones,26650.0,18900.0,54000.0,90000.0,132000.0,170000.0,214000.0,220000.0,d40171a0-6d34-4c62-9b24-5825ea3dd4ed,,,,,,,MeitY_API_real,2026-04-26
5,Strategic Electronics,13800.0,15700.0,18055.0,20760.0,23562.0,28270.0,32800.0,28864.0,d40171a0-6d34-4c62-9b24-5825ea3dd4ed,,,,,,,MeitY_API_real,2026-04-26
6,Electronic Components,32102.0,39723.0,45383.0,52099.0,59132.0,67706.0,75800.0,64430.0,d40171a0-6d34-4c62-9b24-5825ea3dd4ed,,,,,,,MeitY_API_real,2026-04-26
7,Light Emitting Diodes (LED) Products,1941.0,2172.0,5092.0,7134.0,9630.0,13000.0,16250.0,14430.0,d40171a0-6d34-4c62-9b24-5825ea3dd4ed,,,,,,,MeitY_API_real,2026-04-26
NA,Computed Total,173176.0,190366.0,243263.0,317331.0,388306.0,458006.0,533550.0,497484.0,d40171a0-6d34-4c62-9b24-5825ea3dd4ed,,,,,,,MeitY_API_real,2026-04-26
,,,,,,,,,,b5c39c71-8bda-458d-9e85-0b05a83ba46f,2018-19,458006.0,401450.0,61908.0,,,MeitY_API_real,2026-04-26
,,,,,,,,,,b5c39c71-8bda-458d-9e85-0b05a83ba46f,2019-20,533550.0,385081.0,82929.0,,,MeitY_API_real,2026-04-26
,,,,,,,,,,b5c39c71-8bda-458d-9e85-0b05a83ba46f,2020-21,554461.0,399374.0,81822.0,,,MeitY_API_real,2026-04-26
,,,,,,,,,,b5c39c71-8bda-458d-9e85-0b05a83ba46f,2021-22,640810.0,549713.0,116895.0,,,MeitY_API_real,2026-04-26
,,,,,,,,,,b5c39c71-8bda-458d-9e85-0b05a83ba46f,2022-23,822350.0,620752.0,189934.0,,,MeitY_API_real,2026-04-26
,,,,243263.0,317331.0,388306.0,458006.0,533550.0,,e6fab187-3cfa-48a8-915c-b5598da6f379,,,,,190366.0,533670.0,MeitY_API_real,2026-04-26
